,X,Stream,SampleDate,Season,Month,AmbP,Discharge,Percentile_flow,Percentile,GageHeight,pH,Model,EPC,NAP,sorp_capacity,Nitrate_Nitrite,Ammonia,Chlorophyll_ug_L,TempC,Turbidity_FNU,SPConductivity_us_cm,gDM_L_avg,gDM_avg,gAFDM_avg,gAFDM_L_avg,ugP_L_avg,ugPP_avg,mean_diam,ug_L_Chla,MeanMassSed_g,percentPP,percentOM,slope_ambP,DOY,mass_sorp_P_DM_m
1,1,Little Flat Rock,1/24/19,Winter,1,267.83,176,95.7,high,7.49,7.3,Langmuir,53.15,23.8,1544.88,4358.66,92.49,5.76,0.01,119.84,208.1,0.074913111,0.008067967,0.001582433,0.014745222,81.96687395,2.07335295,7.655,0.465897436,0.043044444,0.02569858,19.61377631,2.00685019,24,46.62274625
2,2,Platter Creek,1/24/19,Winter,1,241.29,229,95.1,high,5.16,7.3,Langmuir,26.2,44.79,186.04,10131.33,113.91,7,-0.01,78.83,379.5,0.066923733,0.008365467,0.001752467,0.014019733,66.82428896,1.711707658,9.555,2.101333333,0.036977778,0.020461591,20.94882449,3.6844983,24,99.64087891
3,3,Unnamed Trib to Lost Creek,1/24/19,Winter,1,273.63,15.2,94.6,high,2.17,7.38,Linear,55.7,42.59,NA,3318,212.33,5.96,0.914,37.51,395,0.028307378,0.003747533,0.0015468,0.011654756,64.90002327,1.876360452,24.14,0.975555556,0.035744444,0.050069218,41.27515355,1.23461856,24,34.54015287
4,4,South Turkey Foot,1/24/19,Winter,1,163.93,1430,98.85,high,10.27,NA,Langmuir,27.28,36.04,203.17,4769.33,55.58,6.02,0.019,150.01,271.2,0.124414667,0.012441467,0.001795733,0.017957333,114.9564842,2.913234861,5.52,1.465230769,0.0399,0.023415525,14.43345065,2.57517637,24,64.54076115
5,5,West Creek,1/24/19,Winter,1,173.31,312,99,high,9.03,NA,Langmuir,18.4,45.2,251.48,4368,43.63,5.42,0.039,123.06,213.6,0.073439,0.0073439,0.0014367,0.014367,81.67263994,2.068779668,8.375,0.582102564,0.047444444,0.028170041,19.56317488,3.0537222,24,64.36416875
6,6,Potato Run,1/24/19,Winter,1,192.45,449,99.66,high,7.65,NA,Linear,40.7,NA,NA,2464,83.72,4.1,0.001,72.82,168,0.036961867,0.004620233,0.001336533,0.010692267,57.23351487,1.430837872,12.96,0.756820513,0.028566667,0.030968955,28.9278268,0.41857875,24,14.6526982
7,7,Little Flat Rock,2/8/19,Winter,2,212.43,62.4,84,int,5.23,NA,Langmuir,28.27,42.29,98.31,4914,61.69,NA,NA,NA,NA,0.19016381,0.013056533,0.0020822,0.031838412,197.8269799,4.355270761,5.395,1.106587302,0.034533333,0.033357023,15.94757199,-0.37578867,39,-10.8819114
8,8,Platter Creek,2/8/19,Winter,2,190.61,111,87.5,int,2.7,7.99,Langmuir,33.6,32.95,111.05,9263.33,123.67,5.95,-0.019,91.81,434.9,0.069243841,0.006996767,0.001681567,0.016638958,83.47067062,2.170237436,12.06,1.453319357,0.062166667,0.031017718,24.03348575,-0.022072638,39,-0.355055837
9,9,Unnamed Trib to Lost Creek,2/8/19,Winter,2,90.51,7.75,90.4,high,1.92,7.97,Langmuir,34.97,240.22,448.16,1918,89.69,4.2,1.351,21.64,392.5,0.020510083,0.0020582,0.001116,0.01112096,47.23060758,1.980687481,17.36,1.571910569,0.0345,0.096233966,54.22213585,0.39408054,39,11.42262435
10,10,South Turkey Foot,2/8/19,Winter,2,145.06,754,94.9,high,7.59,8.03,Langmuir,19.56,30.33,138.74,4573.33,31.87,6.21,1.39,173.02,304.9,0.156427857,0.0125761,0.002144333,0.026989619,190.7474841,4.768687102,7.155,1.813333333,0.040711111,0.037918648,17.05085837,4.025415,39,98.87755213
11,11,West Creek,2/8/19,Winter,2,121.88,71.2,91.6,high,5.82,8.02,Langmuir,43.37,23.22,107.65,3831.33,21.49,5.05,0.568,191.76,289.2,0.116701621,0.008660167,0.001765633,0.023785311,178.4512613,4.521005898,9.26,0.762205128,0.0365,0.052204604,20.38797866,0.40305716,39,11.04266192
12,12,Potato Run,2/8/19,Winter,2,136.74,68.1,92.84,high,4.77,8.25,Linear,72.6,NA,NA,2585.33,61.13,5.66,1.244,142.63,314.6,0.118382368,0.0083263,0.001758267,0.025002555,173.0306242,4.325765605,8.73,2.491179487,0.028377778,0.051953036,21.11702677,0.15027726,39,5.295596435
13,13,Little Flat Rock,3/10/19,Spring,3,342.93,250,98,high,8.58,8.6,Langmuir,20.19,56.41,150.4,1787.33,226.8,8.79,2.465,1033.03,135.2,1.080994444,0.0169783,0.002147733,0.13714125,1014.28861,5.071443052,5.613658537,3.183333333,0.214866667,0.029870146,12.64987072,9.74469888,69,45.35230623
14,14,Platter Creek,3/10/19,Spring,3,565.14,335,97.7,high,6.27,7.99,Langmuir,55.43,53.51,134.67,2216.66,349.07,10.7,1.81,519.49,183.9,0.593405556,0.010948,0.001856433,0.101385556,532.1681056,3.02022418,8.734444444,4.271428571,0.196066667,0.027586995,16.95682316,23.961936,69,122.2132062
15,15,Unnamed Trib to Lost Creek,3/10/19,Spring,3,232.33,28.8,97.3,high,2.53,8.11,Langmuir,37.48,43.34,156.52,1176,272.53,5.8,1.736,126.7,208.8,0.126842667,0.0095132,0.001936133,0.025815111,178.956299,3.82242897,15.355,2.257720058,0.079566667,0.040180265,20.3520687,3.51770853,69,44.21083178
16,16,South Turkey Foot,3/10/19,Spring,3,210.75,603,93,high,6.53,8.16,Langmuir,36.92,39.83,111.01,2697.33,231,11.26,1.057,473.45,320.9,0.513405873,0.010423133,0.0017326,0.085268016,469.2118038,2.511507445,7.480530973,5.223809524,0.192622222,0.024095514,16.6226412,4.3836,69,22.75749887
17,17,West Creek,3/10/19,Spring,3,276.52,192,97.4,high,7.89,8.13,Langmuir,27.73,94.93,142.29,2109.33,140.84,8.1,1.943,635.5,182.8,0.472893333,0.009457867,0.001756833,0.087841667,499.2425358,2.776000388,4.740857143,2.005555556,0.150388889,0.029351231,18.57536165,5.50247148,69,36.58828466
18,18,Potato Run,3/10/19,Spring,3,210.75,141,96,high,5.96,8.44,Langmuir,21.41,17.45,469.19,3336.66,173.6,6.75,2.331,599.38,217.6,0.48199,0.0096398,0.001778367,0.088918333,513.6454376,3.081872625,5.967894737,2.753333333,0.1531,0.031970296,18.4481732,4.84788225,69,31.66480895
19,19,Little Flat Rock,3/31/19,Spring,3,188.79,212,96.8,high,8.05,10.66,Langmuir,20.918,10.76,149.87,5124,236.88,8.08,2.175,521.13,184.9,0.379868103,0.009605267,0.0018529,0.073153231,402.6788735,4.699763208,2.625,2.565757576,0.121377778,0.048929022,19.29045804,1.26508179,90,10.42268042
20,20,Platter Creek,3/31/19,Spring,3,184.47,192,93.4,high,4.96,8.42,Langmuir,38.88,19.56,95.15,6710.666667,81.85333333,9.93,2.338,218.16,296.1,0.23389,0.0093556,0.001939567,0.048489167,242.1802072,3.481404458,6.585,4.557777778,0.118544444,0.037211985,20.73161529,1.5606162,90,13.16481943
21,21,Unnamed Trib to Lost Creek,3/31/19,Spring,3,82.81,21.7,96.3,high,2.35,8.65,Langmuir,18.8,29.72,73.54,1665.066667,82.88,6.48,3.677,72.83,342.3,0.076692181,0.006155533,0.001503267,0.01871909,104.9011332,2.098022664,11.24,4.649444444,0.130388889,0.034083526,24.42139454,2.1638253,90,16.59516633
22,22,South Turkey Foot,3/31/19,Spring,3,100.87,1210,98.15,high,9.57,9.26,Langmuir,29.51,57.27,113.35,7681.333333,66.82666667,7.84,3.798,304.08,340.3,0.303744167,0.012149767,0.0020521,0.0513025,360.5103357,5.0744708,4.490857143,3.288247863,0.105955556,0.041765993,16.89003583,1.4555541,90,13.73740231
23,23,West Creek,3/31/19,Spring,3,93.28,192,97.4,high,7.93,8.36,Langmuir,21.2,22.62,117.76,7168,43.86666667,6.57,3.763,313.21,287.9,0.2367425,0.0094697,0.001831833,0.045795833,260.7281309,2.961665559,4.495,1.491608392,0.082066667,0.031275178,19.34415029,2.12277296,90,25.86644539
24,24,Potato Run,3/31/19,Spring,3,167.99,139,95.87,high,5.93,8.95,Langmuir,29.12,23.92,222.66,3798.666667,86.24,7.38,3.841,258.4,229.8,0.221626524,0.009009567,0.001868267,0.045953821,289.4234432,3.4881911,6.19,3.324494949,0.095877778,0.038716523,20.73647934,6.2021908,90,64.68851208
25,25,Little Flat Rock,4/12/19,Spring,4,50.86,2.02,15,low,2.38,9.66,Langmuir,9.71,-810.38,92.4,2156,83.81,4.62,10.778,99.36,617.3,0.088056947,0.008834567,0.001544133,0.015390587,95.34254548,4.158603796,NA,5.178069106,0.1998,0.047071959,17.47830992,3.8587482,102,19.31305405
26,26,Platter Creek,4/12/19,Spring,4,10.63,8.23,31,low,1.8,9.16,Langmuir,6.93,107.45,185.3,10257.33,14.24,3.38,10.202,21.27,647.9,0.023720813,0.003047767,0.001059133,0.008265974,25.74540258,1.287259938,NA,2.923707883,0.11925,0.042236166,34.7511145,0.28604267,102,2.398680671
27,27,Unnamed Trib to Lost Creek,4/12/19,Spring,4,19.36,1.8,68,int,1.52,8.95,NA,6.21,NA,NA,351.86,26.69,37.26,10.587,13.4,630.3,0.016486354,0.002180133,0.001413,0.010683425,55.56150455,2.815057264,NA,39.482,0.062325,0.129123189,64.8125596,0.960256,102,15.40723626
28,28,South Turkey Foot,4/12/19,Spring,4,10.76,44.6,53.5,low,1.44,9.37,Langmuir,4.35,199.61,305.75,4517.33,14.04,4.19,9.971,13.73,615.5,0.016194862,0.002130133,0.0010315,0.007832868,26.61372162,1.32198917,NA,5.057176471,0.1048,0.062061344,48.42420638,0.54143244,102,5.166340076
29,29,West Creek,4/12/19,Spring,4,9.83,4.99,49.5,low,2.99,9.25,Langmuir,5.59,97.91,294.85,3654,23.21,1.43,11.711,8.87,604.2,0.009379532,0.0011579,0.000851033,0.006908543,13.0150597,0.654675946,NA,1.45,0.0737,0.056539938,73.49797046,0.3959524,102,5.372488467
30,30,Potato Run,4/12/19,Spring,4,33.92,4.9,54,low,2.37,9.68,Langmuir,5.68,593.64,535.46,2846.66,20.75,3.66,13.487,10.99,737.1,0.022388217,0.0029575,0.000973233,0.007843734,31.57322911,1.578661456,NA,4.912522876,0.0811,0.05337824,32.90728656,2.881504,102,35.53025894
31,31,Little Flat Rock,4/15/19,Spring,4,142.76,17.1,63.6,int,3.58,9.58,Langmuir,13.6,11.35,353.71,9062.66,167.53,6.44,4.938,190.05,503.1,0.127916111,0.007674967,0.001606767,0.026779444,114.4412052,2.439447281,4.450530973,3.678333333,0.108266667,0.031784466,20.93516493,1.89856524,105,17.53600894
32,32,Platter Creek,4/15/19,Spring,4,124.91,25.6,71.6,int,2.41,8.54,Langmuir,17.68,25.14,135.83,9949.33,94.55,9.93,5.37,98.45,502.4,0.09340625,0.0074725,0.0016543,0.02067875,100.9966324,2.52491581,6.85,8.52,0.098244444,0.033789439,22.13850786,1.64943655,105,16.78910769
33,33,Unnamed Trib to Lost Creek,4/15/19,Spring,4,61.1,9.88,92,high,1.99,8.63,Langmuir,64.09,168.18,580.86,7760.66,84.47,15.25,7.171,48.23,458.3,0.031461815,0.004863633,0.001551,0.010034786,84.77088451,3.475606265,18.975,18.565,0.072566667,0.071461113,31.88974168,-10.15482,105,-139.9378037
34,34,South Turkey Foot,4/15/19,Spring,4,49.65,364,87.6,int,4.32,9.19,Langmuir,6.46,9.4,155.52,8302,71.59,10.56,6.507,112.21,522.4,0.121814126,0.009828167,0.001947767,0.024150518,146.9310741,3.723184611,7.095,12.77866667,0.128911111,0.037882798,19.81821229,1.02988995,105,7.989148042
35,35,West Creek,4/15/19,Spring,4,42.72,40.4,86,int,4.81,8.74,Langmuir,0.8,0.87,276,7760.66,109.2,3.92,7.602,80.99,508.6,0.064554592,0.0060418,0.001546167,0.016581489,93.95293767,2.407172774,6.76,2.552,0.103877778,0.03984198,25.59116488,3.347112,105,32.22163647
36,36,Potato Run,4/15/19,Spring,4,132.23,25,85.5,int,3.54,9.88,Langmuir,15.86,25.55,217.41,5105.33,336,8.29,8.586,185.16,394.6,0.127451389,0.008591067,0.001845267,0.027644306,201.8769854,4.377850693,12.735,5.24,0.0962,0.050958172,21.47890361,4.74586693,105,49.33333607
37,37,Little Flat Rock,4/20/19,Spring,4,157.3,65.6,84.6,int,5.31,9.3,Langmuir,19.64,19.18,139.59,8474.66,392,15.3,6.392,711.79,319.9,0.721488492,0.016367067,0.002191733,0.097020053,642.9355139,5.994644282,2.252666667,13.51055556,0.202244444,0.036626259,13.39111644,5.621902,110,27.79755967
38,38,Platter Creek,4/20/19,Spring,4,135.12,138,90.3,high,4.18,8.7,Langmuir,28.18,22.37,111.26,6598.66,90.16,17.49,6.545,521.49,288.1,0.605095476,0.012300467,0.0020744,0.102069048,550.8249461,4.500969249,5.238352941,18.16888889,0.167433333,0.036591857,16.86440035,5.2994064,110,31.65084458
39,39,Unnamed Trib to Lost Creek,4/20/19,Spring,4,170.92,38.8,98.1,high,2.7,8.7,Langmuir,27.09,68.68,183.05,1318.8,144.01,19.28,7.091,250.45,161.7,0.249934485,0.008749767,0.0018845,0.053857141,338.2132564,3.72034582,12.145,19.72373737,0.110888889,0.04251937,21.53771638,3.69067556,110,33.2826453
40,40,South Turkey Foot,4/20/19,Spring,4,129.42,733,94.7,high,7.39,8.7,Langmuir,22.54,18.52,107.2,7084,125.07,9.38,7.162,226.06,303.7,0.233819312,0.008262567,0.0017252,0.048795132,254.1430412,3.139561259,6.853628319,6.358807859,0.1562,0.037997408,20.87970966,1.70174358,110,10.8946452
41,41,West Creek,4/20/19,Spring,4,123.84,146,96.1,high,7.16,8.3,Langmuir,13.1,21.47,235.73,6486.66,169.4,7.8,7.007,439.52,342,0.260266667,0.010410667,0.001932133,0.048303333,359.68418,4.631089284,5.935,3.570959596,0.107677778,0.044484079,18.55916629,4.33514304,110,40.26033152
42,42,Potato Run,4/20/19,Spring,4,211.12,501,99.77,high,7.7,9.1,Langmuir,16.54,16.98,424.22,1722,114.29,7.72,7.188,800.49,94.9,0.604526667,0.0090679,0.0018376,0.122506667,814.372601,4.633907413,4.523894737,6.838888889,0.0752,0.051102322,20.26489044,6.8423992,110,90.98935106
43,43,Little Flat Rock,4/26/19,Spring,4,255.87,168,95.3,high,7.36,9.69,Langmuir,26.22,22.83,200.52,4778.666667,136.1733333,12.09,10.53,594,225.8,0.446956917,0.012314033,0.0022054,0.081516708,415.6395273,4.296775055,4.550894309,8.586666667,0.129666667,0.034893321,17.90964829,7.02593433,116,54.18458338
44,44,Platter Creek,4/26/19,Spring,4,265,254,96.1,high,5.59,8.47,Langmuir,44.3,32.65,251.66,4321.333333,62.44,12.97,10.245,344.76,256.6,0.294589589,0.011787233,0.002294833,0.057335025,372.6956505,3.848545067,3.242100457,8.467878788,0.136177778,0.032650114,19.46880154,1.626305,116,11.94251385
45,45,Unnamed Trib to Lost Creek,4/26/19,Spring,4,158.42,41.1,98.25,high,2.74,8.57,Langmuir,21.11,80.65,296.77,606.6666667,73.36,9.82,11.68,135.83,254.5,0.088801821,0.007133133,0.001954833,0.02432821,124.5012462,2.536416283,11.50090909,6.951666667,0.110677778,0.035558236,27.40497058,4.2393192,116,38.30325542
46,46,South Turkey Foot,4/26/19,Spring,4,155.6,908,96.5,high,8.39,9.23,Langmuir,31.11,61.87,109.91,4825.333333,88.57333333,12.64,10.77,427.15,318,0.395018051,0.010009567,0.0020831,0.082207949,552.127586,5.692838869,2.555565611,10.79727273,0.159844444,0.056873977,20.81109003,5.596932,116,35.01486733
47,47,West Creek,4/26/19,Spring,4,209.85,295,98.85,high,8.91,8.62,Langmuir,24.58,34.2,147.83,4181.333333,88.94666667,9.71,10.98,455.49,200.9,0.301108154,0.007631267,0.001870167,0.073827949,298.9627641,3.062003761,2.272631579,4.44,0.111233333,0.040124448,24.50663828,5.8359285,116,52.46564445
48,48,Potato Run,4/26/19,Spring,4,207.41,122,95.3,high,5.63,9.63,Langmuir,34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489
49,49,Little Flat Rock,5/1/19,Spring,5,177.84,64.4,84.4,high,5.28,9.91,Langmuir,23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004
50,50,Platter Creek,5/1/19,Spring,5,183.49,102,86.7,int,3.83,9.07,Langmuir,31.75,30.3,115.11,5693.333333,52.08,8.24,8.711,331.49,301.3,0.263784167,0.010551367,0.002260633,0.056515833,304.3518175,3.498115999,1.792761905,4.7,0.154466667,0.033153202,21.42502483,2.0385739,121,13.1975004
51,51,Unnamed Trib to Lost Creek,5/1/19,Spring,5,114.46,37.1,98,high,2.67,9.34,Langmuir,9.76,12.17,352.87,493.5,64.4,7.79,9.23,134.81,251.7,0.108883171,0.0087489,0.002272967,0.028839407,194.161067,4.904975918,6.68,4.472412698,0.089422222,0.056063916,25.98003178,4.19392886,121,46.900298
52,52,South Turkey Foot,5/1/19,Spring,5,74.86,465,90.4,high,5.2,9.5,Langmuir,6.093,7.51,205.19,6038.666667,34.90666667,4.99,9.46,152.2,453.4,0.140774256,0.008261467,0.0020089,0.0345155,190.0593852,2.908637292,3.225454545,3.464583333,0.096988889,0.035207274,24.31650456,3.39055912,121,34.95822207
53,53,West Creek,5/1/19,Spring,5,69.33,65.1,90.8,high,5.62,9.05,Langmuir,4.29,8.61,227.85,6290.666667,38.64,4.5,10.53,119.49,447.5,0.109496519,0.007225833,0.002014833,0.030543368,151.0470842,3.064751506,4.499207921,2.807878788,0.092444444,0.042413816,27.88374711,3.6737967,121,39.74058949
54,54,Potato Run,5/1/19,Spring,5,102.89,28,87,int,3.55,9.5,Langmuir,12.23,31.11,261.66,4237.333333,88.66666667,5.08,13.18,144.7,404,0.101828527,0.0070739,0.001972667,0.028425429,155.010181,3.367554666,4.710505051,3.333629149,0.069511111,0.047605347,27.8865548,1.60950827,121,23.15469062
55,55,Little Flat Rock,5/10/19,Spring,5,243.1,42,78.3,int,4.63,11.8,Langmuir,28.19,23.67,148.82,3304,404.1333333,14.29,13.152,576.11,308.4,0.488267773,0.0105688,0.001905033,0.088291397,536.106022,4.518063309,NA,12.87962963,0.126822222,0.042749066,18.02506434,6.439719,130,50.77752856
56,56,Platter Creek,5/10/19,Spring,5,116.09,8.55,33.5,low,1.84,9.98,Langmuir,31.75,42.28,238.48,8194.666667,42.37333333,7.05,14.35,45.68,618,0.038118039,0.004826733,0.001523867,0.012045974,71.4180692,3.594330699,6.915,6.534444444,0.119011111,0.074467154,31.57139622,2.45774139,130,20.65136078
57,57,Unnamed Trib to Lost Creek,5/10/19,Spring,5,38.7,3.7,81.5,int,1.68,10,Langmuir,5.79,117.51,664.25,793.3333333,81.85333333,16.06,12.96,14.8,596.7,0.017512503,0.002214933,0.001345867,0.010685446,49.13365151,2.456682576,12.91,11.76869281,0.048266667,0.110914532,60.76332783,2.105667,130,43.62569721
58,58,South Turkey Foot,5/10/19,Spring,5,144,907,96.6,high,8.35,10.27,Langmuir,14.76,15.38,163.47,3145.333333,91,9.76,13.096,501.59,254.2,0.451057368,0.008883233,0.0018898,0.096131491,583.3450904,5.448772289,4.195,6.385925926,0.131,0.061337717,21.27378624,5.93856,130,45.33251908
59,59,West Creek,5/10/19,Spring,5,85.34,60,90.1,high,5.49,9.25,Langmuir,2.74,5.73,259.93,4993.333333,32.94666667,NA,14.495,NA,NA,0.182639857,0.0094874,0.0019829,0.038215357,254.1870524,3.907532559,6.47,4.160416667,0.096366667,0.041186548,20.90035205,3.9964722,130,41.47152044
60,60,Potato Run,5/10/19,Spring,5,44.64,6.95,62.5,int,2.5,9.41,Langmuir,10.23,61.24,402.09,3472,132.16,NA,15.875,NA,NA,0.042118381,0.004851933,0.001534133,0.013389451,88.88757569,4.471998255,18.53,5.060666667,0.089588889,0.092169415,31.61900628,2.1619152,130,24.13151033
61,61,Little Flat Rock,5/20/19,Spring,5,223.31,35.5,75.8,int,4.4,NA,Langmuir,24.5,30.33,196.1,2101.866667,226.1466667,NA,15,NA,312,0.322942929,0.011996433,0.0020419,0.055075033,390.193532,5.563714638,2.14,3.256837607,0.1124,0.046378075,17.02089279,4.17902334,140,37.17992295
62,62,Platter Creek,5/20/19,Spring,5,136.45,21.9,68.5,int,2.28,NA,Langmuir,21.88,19.43,210.52,7854,105.0466667,NA,14.38,NA,493,0.112584436,0.005702467,0.0015979,0.031555359,152.7137336,2.855814938,3.355,4.235867446,0.122488889,0.050080341,28.02120556,3.56693945,140,29.12051435
63,63,Unnamed Trib to Lost Creek,5/20/19,Spring,5,89.28,6.04,88,int,1.82,NA,Langmuir,9.19,93.94,462.47,506.8,172.0133333,NA,15.04,NA,414,0.032023333,0.003628533,0.0013918,0.012339611,71.1639171,2.182911817,22.315,7.154942529,0.059988889,0.060159624,38.35709914,6.6460032,140,110.7872359
64,64,South Turkey Foot,5/20/19,Spring,5,146.37,1080,97.6,high,9.14,NA,Langmuir,13.87,16.22,141.54,3490.666667,30.70666667,NA,14.6,NA,265,0.465813714,0.013176933,0.002172933,0.077894857,594.5778866,5.945778866,4.025,3.948148148,0.127811111,0.045122631,16.49043066,3.044496,140,23.82027647
65,65,West Creek,5/20/19,Spring,5,157.84,133,95.6,high,7.07,NA,Langmuir,11.06,12.46,188.35,4134.666667,31.78,NA,13.75,NA,264,0.293576667,0.0088073,0.001880767,0.062692222,390.8678636,4.032769853,3.24,2.95,0.084222222,0.045788946,21.35463763,4.11141632,140,48.81628889
66,66,Potato Run,5/20/19,Spring,5,256.3,40.2,90.1,high,4.06,NA,Langmuir,43.52,44.26,146.28,3472,937.0666667,NA,15.24,NA,293,0.328554603,0.009845767,0.0020399,0.068768698,497.0870679,5.083539121,5.455,5.258148148,0.083533333,0.051631723,20.71854839,7.332743,140,87.78223898
67,67,Little Flat Rock,6/20/19,Spring,6,117.37,209,96.7,high,8.01,NA,Langmuir,18.29,47.06,111.19,1877.866667,128.3333333,NA,20.95,NA,147,0.559319067,0.013982977,0.0019624,0.078496,489.2497585,4.076836609,2.68,5.923093682,0.174055556,0.029155713,14.03420745,5.0903369,171,29.24547206
68,68,Platter Creek,6/20/19,Spring,6,152.99,269,96.6,high,5.81,NA,Langmuir,33.17,36,149.93,1099.466667,40.22666667,NA,20.06,NA,173,0.476468227,0.0119244,0.001928,0.077215552,512.0504424,4.466026898,4.105,12.96203704,0.1729,0.037452844,16.1685284,3.5570175,171,20.57268652
69,69,Unnamed Trib to Lost Creek,6/20/19,Spring,6,95.49,40.5,98.2,high,2.73,NA,Langmuir,18.92,113.18,263.83,412.5333333,67.76,NA,19.13,NA,232,0.060246,0.0060246,0.001608033,0.016080333,104.5184147,2.975102216,15.365,4.446167632,0.093033333,0.049382568,26.69111642,0.89053974,171,9.572265244
70,70,South Turkey Foot,6/20/19,Spring,6,81.65,809,95.6,high,7.88,NA,Langmuir,23.72,46.72,137.77,4881.333333,89.6,NA,18.3,NA,370,0.2768525,0.0110741,0.002097633,0.052440833,372.0206392,5.580309588,7.85,7.121111111,0.178544444,0.050390638,18.94179211,2.4726886,171,13.84914895
71,71,West Creek,6/20/19,Spring,6,97.14,175,97,high,7.59,NA,Langmuir,24.32,43.54,192.2,6178.666667,99.96,NA,18.26,NA,275,0.270334603,0.009018867,0.001732667,0.052037302,359.7471689,3.725697213,4.875,4.573881674,0.151055556,0.041310036,19.21158168,2.7354624,171,18.10898237
72,72,Potato Run,6/20/19,Spring,6,202.75,293,98.6,high,7.08,NA,Langmuir,38.26,37.38,486.77,2030.933333,55.90666667,NA,19.59,NA,153,0.618374841,0.012517267,0.0016781,0.082546508,677.0844033,5.530230367,2.105,6.628703704,0.150555556,0.044180813,13.4062811,8.4364275,171,56.03531164
73,73,Little Flat Rock,6/30/19,Spring,6,15.52,0.67,1.5,low,2.26,NA,Langmuir,7.04,41.89,592.91,35.34533333,25.79733333,NA,25.7,NA,440,0.056359682,0.0077629,0.0019663,0.014281844,77.4396561,3.871982805,7.01,8.862052288,0.130777778,0.049878046,25.32945162,0.09364768,181,0.716082514
74,74,Platter Creek,6/30/19,Spring,6,10.77,1.78,0.7,low,1.48,NA,Langmuir,8,2680,488.9,4620,23.20266667,NA,26,NA,522,0.016373146,0.0022706,0.0012413,0.008952314,16.1588945,0.807944725,15.035,3.629333333,0.071311111,0.035582873,54.66836959,0.10343508,181,1.45047635
75,75,Unnamed Trib to Lost Creek,6/30/19,Spring,6,59.75,0.68,48,low,1.41,NA,Langmuir,19.13,1401.03,802.87,448,84.46666667,NA,22,NA,590,0.012116421,0.001663533,0.001412533,0.010325805,42.44896251,2.122448126,24.7,2.94469281,0.040566667,0.127586776,84.91163085,1.90560675,181,46.97469353
76,76,South Turkey Foot,6/30/19,Spring,6,23.58,15.1,36,low,1.22,NA,Langmuir,13,53.29,432.35,2536.8,35.65333333,NA,25,NA,560,0.008962872,0.001260667,0.001200167,0.008533247,15.46101223,0.773050612,24.57,4.026666667,0.06325,0.061320762,95.20095315,0.00951453,181,0.150427352
77,77,West Creek,6/30/19,Spring,6,48.92,2.23,38,low,2.77,NA,Langmuir,18.64,186.62,223.08,1750,58.89333333,NA,28,NA,557,0.033058996,0.004626533,0.001598833,0.011413522,53.46104007,2.673052003,10.81,3.222666667,0.098233333,0.057776568,34.55790762,0.31435992,181,3.200134928
78,78,Potato Run,6/30/19,Spring,6,61.33,1.62,41.5,low,1.87,NA,Langmuir,22.13,175.04,411.39,2251.2,66.26666667,NA,28.9,NA,650,0.012351625,0.001766667,0.001335567,0.00933982,34.23815375,1.711907687,25.55,5.175333333,0.049625,0.096900417,75.59811781,0.81108925,181,16.34436776