"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorb_MjHf_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorb_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorb_MjHf_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorb_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorb_MjHf_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorb_97.5per","perSorbP_97.5per","Yn","Yg"
"1",1975,1314716173,214627031104,118240852.1,0.006630106425175,26745378.94775,26379911.01475,144986228.9825,144620765.35,0.223103187656663,0.226194064680205,1314716173,214627031104,118240852.1,0.00822179941,36777140.335,35542904.125,155017993.45,153783758.95,0.300597496497575,0.311035819531277,1314716173,214627031104,118240852.1,0.0103106727,49750603.451025,45024473.89325,167991456.995,163265327.3175,0.380786108130982,0.420756469252686,1975,"L2003"
"2",1976,874870868,225126394296,78139863,0.002348710444,24818657.21225,23983942.70575,102958517.8,102123806.35,0.306936073150653,0.317618386562183,874870868,225126394296,78139863,0.00321780083,37754946.745,35447387.3,115894809,113587253.5,0.453640254014779,0.483171396717192,874870868,225126394296,78139863,0.0046211538086,57413122.7825,47825032.3475,135552986.65,125964895.375,0.612043974885136,0.734748188418247,1976,"L2003"
"3",1977,2047538883,902066404330,193320474,0.0072891276668775,99117044.437,74143856.5695,292437513.475,267464329.05,0.383528216310394,0.51270846996268,2047538883,902066404330,193320474,0.00900242655,152603131.05,94873783.35,345923604.5,288194256.5,0.490759107853212,0.78937904450824,2047538883,902066404330,193320474,0.0110808222505,253345702.35275,109337827.027,446666170.125,302658300.3,0.565578103367365,1.31049597133074,1977,"L2003"
"4",1978,3565907990,478570666816,370171531,0.006311668807675,59295102.73,58937934.13485,429466631.775,429109464.125,0.159217900889439,0.160182774104257,3565907990,478570666816,370171531,0.00795357984,82466196.7895,80105958.173,452637733.5,450277490.5,0.21640226615104,0.222778333511282,3565907990,478570666816,370171531,0.009733487987,111185875.418,105674712.88625,481357408.75,475846246.425,0.285474986692723,0.300363118464667,1978,"L2003"
"5",1982,3946766373,936538027619,254446509,0.00865552604352185,119610436.989,96743165.3715,374056948.175,351189675.325,0.380210228671284,0.470080872632448,3946766373,936538027619,254446509,0.01045602687,160729578.069,123712994.51,415176088,378159504.5,0.486204330317615,0.631683172627061,3946766373,936538027619,254446509,0.01262242972625,220931612.67075,150070708.51875,475378121.225,404517217.9,0.589792758833842,0.868283135575461,1982,"L2003"
"6",1983,1982190858,554733876481,114899719.49,0.00556053767175,66663518.487,52500664.03275,181563241.235,167400384.8325,0.456925954787203,0.580188696568593,1982190858,554733876481,114899719.49,0.00717732203,95495225.985,67823637.67,210394947.85,182723359.1,0.590285493916309,0.831118008023607,1982190858,554733876481,114899719.49,0.009084221246,138314666.5065,79617227.7725,253214388.32275,194516947.1875,0.692927956011496,1.20378593716704,1983,"L2003"
"7",1984,2739748442,729463284743,143441835.6,0.0077264904048,91655243.4215,67543462.47625,235097079.4925,210985299.8375,0.470877008745209,0.638971489998835,2739748442,729463284743,143441835.6,0.0093306042705,123809792.99,79700641.4,267251630.5,223142479.8,0.555630378450065,0.863135865991386,2739748442,729463284743,143441835.6,0.0113704713795,175971261.905,92675562.96,319413101.5425,236117400.615,0.646084613825173,1.22677781672922,1984,"L2003"
"8",1985,1602800423,693705514821,21072214.4,0.0041166522545,76921794.97725,15099924.2425,97994007.49,36172136.9175,0.716579850407179,3.65038972730127,1602800423,693705514821,21072214.4,0.00537413832,121097859.375,18043982.381,142170073.4,39116194.85,0.856292653372016,5.74680273635599,1602800423,693705514821,21072214.4,0.00692738472325,187813511.7675,19902812.31175,208885728.07,40975025.0775,0.944505021349346,8.91285121735948,1985,"L2003"
"9",1986,1407416918,353032658337,32258412.09,0.005664742103,42260648.67425,18542576.71775,74519063.13,50800985.91875,0.574813684753508,1.31006599321579,1407416918,353032658337,32258412.09,0.00716677417,62111765.08,21756056.58,94370178.6,54014468.7,0.674430487133131,1.92544397122555,1407416918,353032658337,32258412.09,0.00886220858525,85446782.734,24852421.94475,117705195.75,57110833.24225,0.770416779208241,2.64882172425617,1986,"L2003"
"10",1987,356294763,43367948227,19373849.7,0.00191090727075,4326810.68675,4167295.86275,23700660.9475,23541146.5225,0.215099008574945,0.223332520575402,356294763,43367948227,19373849.7,0.00290344534715169,7334681.715,6514675.38,26708533.5,25888526.95,0.336261273875785,0.378586694362556,356294763,43367948227,19373849.7,0.00412154286275,11134211.0995,9417107.555,30508061.135,28790958.7625,0.486073119221112,0.574703080281458,1987,"L2003"
"11",1988,684771966,172094694452,25372750.529,0.00276100473725,20255445.397,14271379.547725,45628196.3525,39644129.802775,0.562468760783873,0.79831492347859,684771966,172094694452,25372750.529,0.00380053291,29404716.44,18654479.434,54777467.8,44027230.91,0.735217075211405,1.15890929548185,684771966,172094694452,25372750.529,0.00511985303,42345493.375,21977118.604,67718244.2175,47349870.215,0.866170129205388,1.66893586592438,1988,"L2003"
"12",1989,1563361628,855250673529,82900414.18,0.003971584178375,102034624.625,52633145.9825,184935036.38,135533561.36,0.634896055744893,1.23080958803721,1563361628,855250673529,82900414.18,0.005315426365,146109006.05,65778741.58,229009416.375,148679154.13,0.793466983616945,1.7624641263282,1563361628,855250673529,82900414.18,0.006915210743,204385572.21525,74738706.693,287285984.765,157639119.954,0.901548049334486,2.46543487432369,1989,"L2003"
"13",1990,1620464699,516967475500,104157958.83,0.00770252545103975,63942002.45975,49311722.58575,168099959.9025,153469679.4835,0.473432113490563,0.613894542270285,1620464699,516967475500,104157958.83,0.0094411626365,88194111.584,62911310.68,192352069.235,167069270.2,0.603999073970716,0.846734254152818,1620464699,516967475500,104157958.83,0.0114026039515,129199607.81225,73354506.9745,233357562.8725,177512466.857,0.704262139912175,1.24041992818927,1990,"L2003"
"14",1991,1007891169,392344568777,65650947.8,0.002888874168625,37422135.988625,29687954.7975,103073085.605,95338901.815,0.452209081397299,0.570016690431162,1007891169,392344568777,65650947.8,0.0041823183,67861236.3,40760936.245,133512184.9,106411886.15,0.620873538173047,1.03366727479295,1007891169,392344568777,65650947.8,0.005622376846,104895860.1025,48831072.56175,170546808.0425,114482020.8575,0.743798440054661,1.59778135149025,1991,"L2003"
"15",1992,1240340288,302489504464,52494749.6,0.005077710915,34058143.69275,24397573.0599,86552893.19,76892319.75,0.464762157088182,0.648791430614806,1240340288,302489504464,52494749.6,0.006673194195,50397837.22,31583772.325,102892587.15,84078520.25,0.601655833500728,0.960054816986878,1240340288,302489504464,52494749.6,0.00822827562375,80757561.8675,37000295.4945,133252312.485,89495044.9325,0.704838022401006,1.53839312470023,1992,"L2003"
"16",1993,2726781588,605600196647,131106765.2,0.0088333954814425,76150997.1645,55243880.248,207257760.595,186350643.685,0.421365595922734,0.580831942946145,2726781588,605600196647,131106765.2,0.01089700892,104825752.285,68845753.81,235932516.25,199952515.35,0.525112138225496,0.799544951971708,2726781588,605600196647,131106765.2,0.0131990925105,136383811.57325,78689516.3055,267490576.8625,209796277.9375,0.60019417141031,1.04024999293667,1993,"L2003"
"17",1994,1333163356,365817011444,16736695.53,0.00343892083575,33234067.725,9016774.62825,49970763.2125,25753470.1345,0.538742824835865,1.9857006818,1333163356,365817011444,16736695.53,0.0046917809690824,61670774.845,11843764.28,78407468.855,28580459.95,0.707652490825947,3.68476410020467,1333163356,365817011444,16736695.53,0.006156777761,105397366.238,13875300.62825,122134061.51,30611995.03,0.829034656415836,6.29738206380576,1994,"L2003"
"18",1995,1540926530,427591138042,53848951.8,0.0051454173385,47254431.76325,26428984.1085,101103382.8375,80277933.8175,0.49079848771541,0.877536705612346,1540926530,427591138042,53848951.8,0.00655720465,72399739.075,32966678.8855,126248690.8,86815627.8,0.612206510684578,1.34449672008286,1540926530,427591138042,53848951.8,0.00851004123175,107777909.2835,38795181.23625,161626860.33,92644129.1575,0.720444501507456,2.00148574263427,1995,"L2003"
"19",1996,2874603671,638126264294,126977009.8,0.01073490082925,84650245.8635,58791418.097,211627254.7225,185768425.1625,0.463008368125865,0.666658050908835,2874603671,638126264294,126977009.8,0.01284617483,111206722.53,68372657.54,238183732.475,195349665.5,0.538464857911625,0.875802026722478,2874603671,638126264294,126977009.8,0.015443359146275,140262839.798475,77855197.825,267239849.07,204832204.01,0.613144048262192,1.10463177562144,1996,"L2003"
"20",1997,2714573176,648174449433,182344934.124,0.0071069720933575,79627260.42025,66298680.01625,261972192.005,248643613.30525,0.36358937162008,0.436684796332763,2714573176,648174449433,182344934.124,0.0091339457865,111758332.58,85880543.424,294103269.4,268225478.38,0.47097849927434,0.61289518744733,2714573176,648174449433,182344934.124,0.0110034190604025,148374686.6115,104323531.76225,330719621.284325,286668464.315,0.572121908751832,0.813703365680567,1997,"L2003"
"21",1998,2334375376,586196936072,150963382.7,0.00783801265765,73524901.21175,64977323.251,224488284.6825,215940707.8875,0.430417774753533,0.487037981639968,2334375376,586196936072,150963382.7,0.00967396542105,101631741.814,79009825.205,252595127.3,229973210.1,0.523370792253717,0.673221148044664,2334375376,586196936072,150963382.7,0.011719980810575,133442661.4175,91659915.66525,284406043.09,242623301.2575,0.607166546124632,0.883940588975024,1998,"L2003"
"22",1999,1945541160,330165647291,86100687.25,0.006403085408525,42619493.26125,33793552.784,128720178.825,119894236.9775,0.392488769408748,0.494995970676761,1945541160,330165647291,86100687.25,0.007990538765,57173315.77,41611283.545,143273998.5,127711965.9,0.483286311341261,0.664028564650046,1945541160,330165647291,86100687.25,0.0097645897905,72480415.08925,49133781.55325,158581098.7925,135234465.665,0.570654928811268,0.841809948378199,1999,"L2003"
"23",2000,1808753130,499967269160,127943230.05,0.007197958775875,60516164.0925,49752278.620475,188459396.815,177695508.94625,0.388862143006956,0.472992311268446,1808753130,499967269160,127943230.05,0.009013872635,84784232.85,61917294.39,212727463.175,189860524.5,0.483943498736141,0.662670723701961,1808753130,499967269160,127943230.05,0.01091794559075,123594484.451175,74268967.737025,251537716.3725,202212198.61625,0.580483763838077,0.96601035008163,2000,"L2003"
"24",2001,1399514478,228819931359,94535203.18,0.006520566635125,29157057.2035,27245913.680525,123692260.5375,121781116.157,0.288209183076989,0.308425393109733,1399514478,228819931359,94535203.18,0.0082410572615,40090585.075,35862332.4845,134625785.5,130397535.38,0.379354264635326,0.424081016662813,1399514478,228819931359,94535203.18,0.01002482155625,52461928.5305,44212981.33625,146997127.8125,138748183.608,0.467688013025858,0.554945954160692,2001,"L2003"
"25",2002,2186553293,490112266004,146635113.7,0.00707356166375,63072450.358,56865341.62675,209707565.3025,203500455.3875,0.387801667635288,0.430131970211716,2186553293,490112266004,146635113.7,0.00886261996268858,84081915.245,71324327.585,230717030.3,217959441.75,0.486406876124651,0.573409145486277,2186553293,490112266004,146635113.7,0.0108283843097084,112844117.69625,86302234.00125,259479228.8925,232937349.2175,0.588550939973459,0.769557269393995,2002,"L2003"
"26",2003,2688957534,628570776398,285387165.32,0.00737013866675,78139417.096,74226045.1995,363526580.3175,359613211.06,0.260088939585883,0.273801440959629,2688957534,628570776398,285387165.32,0.0091574362635,109522929.01,98879677.565,394910093.25,384266845.24,0.346475558752363,0.383769637598081,2688957534,628570776398,285387165.32,0.011211826447325,146376825.3015,123486112.17125,431763989.3,408873276.0355,0.432696796412645,0.512906125744548,2003,"G2003"
"27",2004,2049153621,506705433109,185469619.75,0.0063908454081,62077941.57865,56128456.50175,247547566.125,241598078.9025,0.302628843351311,0.334706792747657,2049153621,506705433109,185469619.75,0.007881044917,86874034.84,72423425.659,272343658.65,257893048.95,0.390486731771067,0.468400350187271,2049153621,506705433109,185469619.75,0.009886222472375,120547649.04,92259518.37425,306017271.1075,277729142.8625,0.497437361971245,0.649959002463529,2004,"G2003"
"28",2005,534674569,78788308018,63274465.46,0.00157428232475,7198257.213,6385611.09625,70472721.7475,69660077.57675,0.100919242064349,0.11376243419315,534674569,78788308018,63274465.46,0.00239079153,12981735.265,11999720.28,76256201.19,75274184.945,0.189645541732562,0.205165467153675,534674569,78788308018,63274465.46,0.00352783551575,22299534.478,20052633.374,85573999.5615,83327097.6825,0.316915097238974,0.352425489743521,2005,"G2003"
"29",2006,1209464508,208783644639,89885594.11,0.00450814103975,25779716.97,23456424.77225,115665311.3125,113342018.55625,0.260958666452653,0.286805880578053,1209464508,208783644639,89885594.11,0.00586065695285,35974209.595,31076954.79,125859804.63,120962551.51,0.34573899296887,0.400222193013216,1209464508,208783644639,89885594.11,0.0077047933525,49520120.3965,40456794.088,139405713.5575,130342390.92875,0.450092080812081,0.550923881483148,2006,"G2003"
"30",2007,2049006827,397433398141,239565923,0.006768296228,49770801.9575,48773294.19325,289336725.125,288339216.775,0.203590283553183,0.207754096802407,2049006827,397433398141,239565923,0.00837410477,68200058.835,65731217.075,307765981.5,305297141.5,0.274376323025708,0.284681802741202,2049006827,397433398141,239565923,0.01036784324775,91476558.016,85119783.19925,331042478.9,324685707.7,0.355308393336268,0.381842946903596,2007,"G2003"
"31",2008,2936648821,523966063687,240900737.73,0.010499988889825,73159738.65875,67870242.27125,314060478.27925,308770976.92,0.281735302725883,0.303692464158192,2936648821,523966063687,240900737.73,0.012560118157,90599866.36,81384993,331500603.25,322285731.32,0.337836213234082,0.376087957279499,2936648821,523966063687,240900737.73,0.0147122835104005,113818799.8855,97574485.509,354719534.065,338475222.63,0.405040210455316,0.472471778036095,2008,"G2003"
"32",2009,2634863754,592641065917,169255195.87,0.00796422369725,67599510.6345,61875863.15375,236854708.4975,231131060.49675,0.365577333302518,0.399394005525368,2634863754,592641065917,169255195.87,0.009808988967,101160418.3465,83048182.745,270415616.05,252303383.35,0.490668438969442,0.597679839762192,2634863754,592641065917,169255195.87,0.0117216444887,153108576.551582,104317461.20675,322363773.3675,273572661.84,0.616332400730984,0.90460192825738,2009,"G2003"
"33",2010,3178248134,489069162617,284630610,0.0131471361750875,67897404.1044475,66530502.24775,352528016.025,351161113.1,0.233743314704452,0.238545685948702,3178248134,489069162617,284630610,0.015117685769,83836832.4315,78924961.815,368467441.5,363555571,0.277289086423277,0.294546087054727,3178248134,489069162617,284630610,0.0175845593777,104659647.09425,96080378.9565,389290251.5,380710984.225,0.337561652123431,0.367703414240127,2010,"G2003"
"34",2011,4599268009,969999356646,414105504.38,0.01025913791705,123541428.133425,118559729.84275,537646933.078,532665235.263,0.286303197104945,0.298333219014781,4599268009,969999356646,414105504.38,0.0125299847235,166487157.615,148740773.995,580592662.65,562846278.38,0.359185696451186,0.402040436203004,4599268009,969999356646,414105504.38,0.01477879738175,228973099.17025,179891031.28225,643078602.8205,593996537.13,0.434408693870378,0.55293420818704,2011,"G2003"
"35",2012,549060433,167411156005,44061759.9,0.00200957616785,16610532.4025,15857156.500275,60672291.5175,59918915.7175,0.359884773923318,0.376982953930989,549060433,167411156005,44061759.9,0.002931174815,28423424.05,23717221.245,72485181.45,67778981.5,0.538272218332341,0.645081451909959,549060433,167411156005,44061759.9,0.00409640640325,46398556.4655,30116896.158,90460316.82,74178655.28,0.683515507014508,1.05303457171941,2012,"G2003"
"36",2013,2207838499,426112862332,208383754.6,0.0064726025351,52332492.208075,50137950.85825,260716246.41,258521705.0975,0.240603932655363,0.251135182339569,2207838499,426112862332,208383754.6,0.0081876646535,74407148.8,67699355.58,282790904.15,276083111.35,0.324878279067153,0.357067895925127,2207838499,426112862332,208383754.6,0.0100622349330285,100313377.815,87342936.5135,308697129.3575,295726687.9225,0.419144653004059,0.481387707057851,2013,"G2003"
"37",2014,2819311067,409719862566,275972897.39,0.0087337702798175,49307099.04725,48911780.32725,325279994.07225,324884673.96325,0.177233999388457,0.178666454255361,2819311067,409719862566,275972897.39,0.010507818735,68931619.513,65760931.01,344904513.225,341733825.735,0.238287642126929,0.249776772157402,2819311067,409719862566,275972897.39,0.01294676527125,102758896.11,86413542.44125,378731789.69675,362386439.145,0.313123293115019,0.372351405090272,2014,"G2003"
"38",2015,3611389827,629950774997,392619560.6,0.0087006571126,77402901.988725,75230103.8168,470022464.3775,467849664.955,0.191610687205277,0.197144792965583,3611389827,629950774997,392619560.6,0.0106056056455,108474105.505,101427418.12,501093668.5,494046980.05,0.258335111895594,0.276282988395255,3611389827,629950774997,392619560.6,0.0126227854845,145060230.100375,128485744.05475,537679791.205,521105306.14,0.327252528779764,0.369467659427601,2015,"G2003"
"39",2016,1965431816,286518599703,119749724.9,0.00873631442595,39465672.507,37382328.713,159215394.03,157132048.845,0.312170476752385,0.329567959675538,1965431816,286518599703,119749724.9,0.0105080584420165,50335381.9385,45581554.5045,170085105.75,165331276,0.380640160489421,0.420338184330142,1965431816,286518599703,119749724.9,0.01279775518925,64095957.4085,54747969.97025,183845680.845,174497693.8725,0.457186603275863,0.535249308188599,2016,"G2003"
"40",2017,2628576058,559200468358,261089907.9,0.00704571018025,72382635.7355,66601270.820075,333472543.425,327691177.1875,0.255089410983989,0.277232606643774,2628576058,559200468358,261089907.9,0.008799940416,96259272.5853345,88336331.555,357349182.612395,349426240.9,0.338336829123375,0.368682471517882,2628576058,559200468358,261089907.9,0.0108302519165,130055798.271025,113975455.4275,391145709.0275,375065364.7825,0.436537192663738,0.498126485688744,2017,"G2003"
"41",2018,2370609151,316600410961,179446322.73,0.008758344843275,43445037.98625,42085922.530975,222891362.106,221532248.12425,0.234532097903721,0.242106036642604,2370609151,316600410961,179446322.73,0.01056050546,54417992.525,53007803.27,233864318.145,232454127.65,0.29539643088567,0.303254988439517,2370609151,316600410961,179446322.73,0.01286074551575,71101984.717375,67221313.21925,250548307.54,246667637.025,0.374604016379834,0.396229823134114,2018,"G2003"
"42",2019,4454920066,801530807902,322938575,0.01499843957945,111984325.04475,102687195.9467,434922893.9925,425625766.6075,0.317977485181818,0.346766641441797,4454920066,801530807902,322938575,0.017314294173,138727439.32,120879748.3765,461666008.85,443818319.4,0.374311890044415,0.429578409206766,4454920066,801530807902,322938575,0.0196078862077,172093087.4172,138934824.12325,495031656.435,461873394.575,0.430220589544776,0.532897277499908,2019,"G2003"
